Date,Open,High,Low,Close,Adj Close,Volume
2014-04-03,82.9199981689,83.0999984741,82.5999984741,82.9100036621,56.6281700134,3362700
2014-04-04,83.1699981689,83.1800003052,82.5800018311,82.5899963379,56.4096450806,4404100
2014-04-07,82.3700027466,84.2300033569,82.3000030518,83.9100036621,57.3112068176,8976500
2014-04-08,83.9300003052,84.0000000000,83.1500015259,83.4700012207,57.0106697083,6552700
2014-04-09,83.4700012207,84.0000000000,83.2799987793,83.9100036621,57.3112068176,4926400
2014-04-10,83.8499984741,84.8199996948,83.5999984741,83.6200027466,57.1131248474,7665500
2014-04-11,81.9899978638,84.2200012207,81.9899978638,83.1500015259,56.7921066284,6703700
2014-04-14,83.5699996948,83.9100036621,83.0500030518,83.5500030518,57.0653228760,4617800
2014-04-15,83.9700012207,84.0400009155,83.5400009155,83.9599990845,57.3453636169,5673800
2014-04-16,84.4199981689,84.9800033569,84.3700027466,84.7699966431,57.8985900879,5578400
2014-04-17,85.9000015259,85.9400024414,84.4899978638,85.5500030518,58.4313354492,11168400
2014-04-21,85.2099990845,85.9499969482,85.0100021362,85.9100036621,58.6772117615,4889800
2014-04-22,85.8300018311,85.8300018311,85.1399993896,85.1399993896,58.1512908936,4483300
2014-04-23,85.2699966431,85.6999969482,85.0599975586,85.4100036621,58.3357009888,4805300
2014-04-24,85.3799972534,85.6699981689,85.0000000000,85.5199966431,58.4108314514,3749700
2014-04-25,85.4599990845,85.7900009155,85.1100006104,85.2500000000,58.2264328003,3749300
2014-04-28,85.5400009155,87.0000000000,85.4499969482,86.8199996948,59.2987403870,5978500
2014-04-29,86.9300003052,86.9400024414,85.7600021362,85.7600021362,58.5747566223,4869100
2014-04-30,85.7300033569,86.0699996948,85.4300003052,85.8899993896,58.6635589600,4387500
2014-05-01,86.0000000000,86.1299972534,84.9499969482,85.5699996948,58.4449882507,3848700
2014-05-02,85.3499984741,85.8600006104,85.0999984741,85.5199966431,58.4108314514,3438000
2014-05-05,85.1699981689,86.0800018311,85.1399993896,85.9100036621,58.6772117615,2989800
2014-05-06,85.4899978638,85.9800033569,85.3199996948,85.3700027466,58.3083915710,3141100
2014-05-07,85.3099975586,87.1200027466,85.3099975586,86.8000030518,59.2851028442,5500600
2014-05-08,86.7900009155,87.0899963379,86.4199981689,86.6600036621,59.1894721985,3507900
2014-05-09,86.5699996948,87.2500000000,86.4199981689,87.1699981689,59.5378036499,3330100
2014-05-12,87.3199996948,87.6800003052,86.6299972534,86.9300003052,59.3738975525,3218600
2014-05-13,86.9499969482,87.4400024414,86.8099975586,87.2300033569,59.5787925720,2259400
2014-05-14,87.2399978638,87.4400024414,86.7799987793,86.8399963379,59.3124160767,2726300
2014-05-15,86.8399963379,86.9000015259,85.6900024414,85.7399978638,58.5610847473,3877100
2014-05-16,85.5899963379,86.6200027466,85.5699996948,86.5400009155,59.1075210571,3672600
2014-05-19,85.9400024414,86.1999969482,85.4499969482,86.0999984741,58.8069648743,4201400
