timestamp,open,high,low,close,volume
2026-09-09,138.0100,138.1200,136.3300,136.6900,7374211
2026-09-08,137.0000,138.9800,137.0000,138.4500,10092479
2026-09-04,137.7400,139.4650,137.4300,137.6300,6145503
2026-09-03,140.3200,140.7500,138.5800,140.0200,10320049
2026-09-02,140.2700,141.7067,139.3000,140.5200,7057757
2026-09-01,141.1900,141.4300,139.3700,139.7900,5535011
2026-08-31,141.0400,141.0400,139.3300,140.3400,6557162
2026-08-28,140.6600,141.2900,139.9900,141.0700,5467312
2026-08-27,140.5600,141.0878,139.6750,139.7200,6245248
2026-08-26,142.6900,142.6900,141.2200,142.1900,8586485
2026-08-25,143.7300,143.8700,142.0800,142.2700,10197152
2026-08-24,144.9100,145.9000,144.3800,144.6700,6001635
2026-08-21,142.6650,143.5600,141.6400,143.4800,6633913
2026-08-20,141.7400,143.3650,141.1100,142.0800,5350389
2026-08-19,140.8700,143.6300,140.6300,142.5800,6954163
2026-08-18,140.3600,140.8000,139.0500,140.1300,6224718
2026-08-17,139.7100,139.8900,137.6601,138.2400,6856152
2026-08-14,140.6200,141.2700,140.1200,140.7900,3867008
2026-08-13,139.4100,140.8300,139.3300,140.6200,6246700
2026-08-12,137.5200,138.7500,136.7305,138.7000,5472698
2026-08-11,137.0100,138.5100,136.9000,138.4100,5823880
2026-08-10,138.5150,138.5150,137.1800,137.7300,5883765
2026-08-07,137.5400,139.4850,137.1500,139.0200,4733961
2026-08-06,140.0900,140.5200,137.1400,138.4400,8510281
2026-08-05,140.2300,140.2700,137.9200,138.7800,6257637
2026-08-04,137.7700,139.2050,137.1321,139.1000,8525176
2026-08-03,141.0800,141.5500,138.7101,139.6300,6645290
2026-07-31,139.5250,140.1550,138.3801,139.5600,9699437
2026-07-30,141.1000,142.5200,139.4200,140.2000,8257463
2026-07-29,143.2800,145.2300,142.5800,143.5000,8398315
2026-07-28,143.2100,145.4300,141.7850,142.8600,10648842
2026-07-27,137.0700,140.3050,137.0100,139.7900,7239327
2026-07-24,135.5300,137.1300,134.5650,136.6400,7968317
2026-07-23,134.7000,135.3400,133.7300,134.9500,7755679
2026-07-22,136.3600,136.3600,134.7200,135.6500,6198716
2026-07-21,134.9000,135.3800,134.2700,135.0000,7989507
2026-07-20,137.5700,137.5900,133.9500,135.4600,8758656
2026-07-17,140.8900,141.9600,136.1800,137.1200,8579298
2026-07-16,137.0350,139.6199,136.5000,139.4300,7805559
2026-07-15,135.0900,136.9900,134.6546,135.4000,8078255
2026-07-14,138.2500,138.7900,135.4100,135.4500,8518560
2026-07-13,138.0200,140.2500,137.7500,138.4900,6716299
2026-07-10,135.8570,137.9600,135.3100,137.3800,9074880
2026-07-09,137.0850,138.7400,134.6900,137.8600,18763668
2026-07-08,146.0000,146.0000,142.4400,142.5100,8997884
2026-07-07,146.9900,149.0400,144.5400,144.9800,9256664
2026-07-06,144.2400,144.7000,141.3800,143.2900,9006587
2026-07-02,143.2350,144.7400,142.1599,144.2200,13041804
2026-07-01,137.2100,141.3400,136.6100,141.1600,9391705
2026-06-30,138.8100,139.1400,134.9400,135.4000,14148301
2026-06-29,141.9650,142.3700,137.5300,138.6800,10042375
2026-06-26,140.5200,142.1400,140.2000,141.3900,9735656
2026-06-25,141.9900,143.1000,139.3700,139.5200,7336851
2026-06-24,142.0200,143.7400,141.6700,142.2700,8324098
2026-06-23,143.6750,143.6750,140.8650,142.0500,7589035
2026-06-22,141.2800,142.4900,140.4800,140.7100,10345011
2026-06-18,141.0500,142.7290,141.0400,142.0200,19130318
2026-06-17,145.5100,145.8700,140.8500,141.5900,10126578
2026-06-16,146.8700,147.6400,145.0300,146.1200,9345235
2026-06-15,143.0200,146.7700,142.8100,146.2500,8976365
2026-06-12,143.7950,144.3600,142.4100,144.2700,6783560
2026-06-11,144.8600,145.4000,143.5700,143.7300,8653856
2026-06-10,143.9450,145.4500,143.0000,144.3200,11249229
2026-06-09,141.5300,144.2999,140.8501,142.7800,10390160
2026-06-08,140.9200,141.8600,139.2600,140.6800,8800466
2026-06-05,141.5600,144.3400,141.2100,141.9200,13228693
2026-06-04,144.8600,145.7000,141.2050,142.1500,8089821
2026-06-03,141.7850,143.6800,141.7700,142.5400,6225123
2026-06-02,141.5400,142.8900,140.8100,142.0000,7864652
2026-06-01,142.5850,144.1100,141.3200,141.5200,8077342
2026-05-29,145.1400,146.7650,143.5462,144.1900,12779204
2026-05-28,147.7700,148.6100,145.6200,146.2900,7631921
2026-05-27,146.2700,148.9138,145.7000,147.7400,7405760
2026-05-26,149.7100,150.2500,145.5000,145.6800,9067004
2026-05-22,149.4100,150.8396,148.5400,150.5700,7775461
2026-05-21,149.2900,149.6700,146.3800,148.8500,6123142
2026-05-20,149.5700,150.6500,148.3900,149.2900,6962563
2026-05-19,150.3000,152.5700,148.9700,150.3700,10093898
2026-05-18,149.9900,150.1200,147.4800,149.0600,8799358
2026-05-15,149.5600,150.1100,148.1900,149.1200,6230649
2026-05-14,149.5000,149.9900,148.1500,148.6700,5022216
2026-05-13,150.6900,153.2400,148.9600,149.2700,5524860
